x,y,width,height,angle,coor
371.0, 27.0, 32.0, 32.0, -0.0, "0.951107"
308.0, 28.0, 32.0, 32.0, -0.0, "0.911673"
339.0, 28.0, 32.0, 32.0, -0.0, "0.903456"
178.0, 30.0, 32.0, 32.0, -0.0, "0.903674"
145.0, 31.0, 32.0, 32.0, -0.0, "0.929604"
112.0, 32.0, 32.0, 32.0, -0.0, "0.913525"
45.0, 33.0, 32.0, 32.0, -0.0, "0.859972"
79.0, 33.0, 32.0, 32.0, -0.0, "0.859046"
371.0, 92.0, 32.0, 32.0, -0.0, "0.985496"
340.0, 93.0, 32.0, 32.0, -0.0, "1"
308.0, 94.0, 32.0, 32.0, -0.0, "0.96221"
180.0, 97.0, 32.0, 32.0, -0.0, "0.940869"
148.0, 98.0, 32.0, 32.0, -0.0, "0.923199"
82.0, 99.0, 32.0, 32.0, -0.0, "0.890856"
115.0, 99.0, 32.0, 32.0, -0.0, "0.872934"
49.0, 100.0, 32.0, 32.0, -0.0, "0.888195"
16.0, 101.0, 32.0, 32.0, -0.0, "0.900789"
340.0, 125.0, 32.0, 32.0, -0.0, "0.942228"
371.0, 125.0, 32.0, 32.0, -0.0, "0.943652"
309.0, 126.0, 32.0, 32.0, -0.0, "0.929875"
277.0, 127.0, 32.0, 32.0, -0.0, "0.96343"
214.0, 129.0, 32.0, 32.0, -0.0, "0.915015"
181.0, 130.0, 32.0, 32.0, -0.0, "0.917212"
149.0, 131.0, 32.0, 32.0, -0.0, "0.923023"
116.0, 132.0, 32.0, 32.0, -0.0, "0.856809"
18.0, 134.0, 32.0, 32.0, -0.0, "0.867825"
371.0, 156.0, 32.0, 32.0, -0.0, "0.993231"
340.0, 157.0, 32.0, 32.0, -0.0, "0.986731"
309.0, 158.0, 32.0, 32.0, -0.0, "0.996755"
278.0, 159.0, 32.0, 32.0, -0.0, "0.935957"
214.0, 161.0, 32.0, 32.0, -0.0, "0.906974"
182.0, 162.0, 32.0, 32.0, -0.0, "0.907487"
150.0, 163.0, 32.0, 32.0, -0.0, "0.903867"
118.0, 164.0, 32.0, 32.0, -0.0, "0.936377"
85.0, 165.0, 32.0, 32.0, -0.0, "0.914236"
52.0, 166.0, 32.0, 32.0, -0.0, "0.882994"
20.0, 167.0, 32.0, 32.0, -0.0, "0.885381"
119.0, 196.0, 32.0, 32.0, -0.0, "0.887986"
87.0, 197.0, 32.0, 32.0, -0.0, "0.88614"
54.0, 198.0, 32.0, 32.0, -0.0, "0.892936"
22.0, 199.0, 32.0, 32.0, -0.0, "0.86141"
371.0, 249.0, 32.0, 32.0, -0.0, "0.950418"
341.0, 250.0, 32.0, 32.0, -0.0, "0.917304"
310.0, 251.0, 32.0, 32.0, -0.0, "0.874749"
279.0, 253.0, 32.0, 32.0, -0.0, "0.871283"
371.0, 280.0, 32.0, 32.0, -0.0, "0.90393"
341.0, 281.0, 32.0, 32.0, -0.0, "0.967037"
310.0, 282.0, 32.0, 32.0, -0.0, "0.925205"
280.0, 283.0, 32.0, 32.0, -0.0, "0.901999"
218.0, 286.0, 32.0, 32.0, -0.0, "0.94218"
187.0, 287.0, 32.0, 32.0, -0.0, "0.864622"
155.0, 289.0, 32.0, 32.0, -0.0, "0.903969"
124.0, 290.0, 32.0, 32.0, -0.0, "0.887026"
92.0, 291.0, 32.0, 32.0, -0.0, "0.857626"
28.0, 294.0, 32.0, 32.0, -0.0, "0.866432"
372.0, 310.0, 32.0, 32.0, -0.0, "0.891768"
342.0, 311.0, 32.0, 32.0, -0.0, "0.899149"
311.0, 313.0, 32.0, 32.0, -0.0, "0.941585"
280.0, 314.0, 32.0, 32.0, -0.0, "0.930838"
219.0, 317.0, 32.0, 32.0, -0.0, "0.912451"
188.0, 318.0, 32.0, 32.0, -0.0, "0.897359"
156.0, 320.0, 32.0, 32.0, -0.0, "0.862138"
125.0, 321.0, 32.0, 32.0, -0.0, "0.905491"
93.0, 322.0, 32.0, 32.0, -0.0, "0.902199"
372.0, 340.0, 32.0, 32.0, -0.0, "0.865573"
342.0, 341.0, 32.0, 32.0, -0.0, "0.9072"
312.0, 343.0, 32.0, 32.0, -0.0, "0.908679"
281.0, 344.0, 32.0, 32.0, -0.0, "0.900588"
220.0, 347.0, 32.0, 32.0, -0.0, "0.869723"
189.0, 349.0, 32.0, 32.0, -0.0, "0.880313"
126.0, 352.0, 32.0, 32.0, -0.0, "0.880977"
95.0, 353.0, 32.0, 32.0, -0.0, "0.869963"
63.0, 354.0, 32.0, 32.0, -0.0, "0.890927"
32.0, 355.0, 32.0, 32.0, -0.0, "0.867398"
371.0, 369.0, 32.0, 32.0, -0.0, "0.87035"
342.0, 371.0, 32.0, 32.0, -0.0, "0.938509"
312.0, 373.0, 32.0, 32.0, -0.0, "0.942634"
282.0, 374.0, 32.0, 32.0, -0.0, "0.881504"
220.0, 378.0, 32.0, 32.0, -0.0, "0.858078"
190.0, 379.0, 32.0, 32.0, -0.0, "0.896752"
159.0, 380.0, 32.0, 32.0, -0.0, "0.877653"
96.0, 383.0, 32.0, 32.0, -0.0, "0.880751"
65.0, 384.0, 32.0, 32.0, -0.0, "0.885505"
