XP,Z,REP,IMG,MEAN,MB,MG,MR,STDDEV,SB,SG,SR
BED,-100.0,REP1,IMG1,mean,58.127925000000005, 40.447081250000004, 73.544981250000006, stdDev,7.6540910756519267, 5.3223244081790195, 11.939757187110118
BED,-100.0,REP1,IMG2,mean,58.152662500000005, 40.36348125, 73.450687500000001, stdDev,7.6388550621865665, 5.2999327949416983, 11.975380715340256
BED,-100.0,REP1,IMG3,mean,56.584637499999999, 36.911825, 71.839493750000003, stdDev,7.6287989876253777, 5.2314458010549014, 12.234263626949982
BED,-100.0,REP2,IMG1,mean,59.6124875, 39.469837500000004, 75.237606249999999, stdDev,7.275076223816745, 4.7742567718539783, 12.851391442951286
BED,-100.0,REP2,IMG2,mean,59.533593750000001, 39.381318749999998, 75.186275000000009, stdDev,7.2346507489968621, 4.7453044961202169, 12.769249258447992
BED,-100.0,REP2,IMG3,mean,61.079931250000001, 42.687081249999999, 76.684943750000002, stdDev,7.2286032361220105, 4.9034835174494793, 12.514162309532981
BED,-100.0,REP3,IMG1,mean,62.784675, 44.138568750000005, 77.583543750000004, stdDev,7.2846171927133598, 4.7676453781214931, 12.418025525091931
BED,-100.0,REP3,IMG2,mean,61.725462500000006, 41.851849999999999, 76.527743749999999, stdDev,7.278385237200137, 4.7111412181657464, 12.656534588280355
BED,-100.0,REP3,IMG3,mean,60.748750000000001, 39.634762500000001, 75.534525000000002, stdDev,7.3041391304862406, 4.6252285423094239, 12.801269781719892
BED,-100.1,REP1,IMG1,mean,53.991306250000001, 37.572318750000001, 71.395756250000005, stdDev,8.3041574327990055, 5.7333744425423943, 11.860815032727981
BED,-100.1,REP1,IMG2,mean,52.821456250000004, 35.251056250000005, 70.214500000000001, stdDev,8.4070485831435136, 5.732597754014825, 12.085153174453367
BED,-100.1,REP1,IMG3,mean,51.511850000000003, 32.693043750000001, 68.914893750000005, stdDev,8.5100791463710586, 5.7331434754928097, 12.223104175135303
BED,-100.1,REP2,IMG1,mean,54.19044375, 34.753943750000005, 72.471687500000002, stdDev,8.7644238217971804, 5.6177597912188917, 12.81048636478506
BED,-100.1,REP2,IMG2,mean,54.997243750000003, 36.325962500000003, 73.234268749999998, stdDev,8.6495736110565424, 5.6127799216247176, 12.636415112791061
BED,-100.1,REP2,IMG3,mean,57.111587500000006, 39.565625000000004, 74.7323375, stdDev,8.6094503732725762, 5.7286096357994793, 12.432912240746079
BED,-100.1,REP3,IMG1,mean,57.612875000000003, 39.960356250000004, 75.020368750000003, stdDev,8.7554095697674121, 5.799632283437087, 12.482815842750519
BED,-100.1,REP3,IMG2,mean,56.115681250000002, 36.865175000000001, 73.508218749999997, stdDev,8.8841930752544176, 5.7761554878115273, 12.737013286173072
BED,-100.1,REP3,IMG3,mean,56.04554375, 36.483062500000003, 73.352218750000006, stdDev,8.8604137610405278, 5.7970963094547319, 12.703477799490505
BED,-100.2,REP1,IMG1,mean,49.253693750000004, 34.282318750000002, 68.95199375, stdDev,7.9415156444605026, 5.3775705363480224, 11.606716876445359
BED,-100.2,REP1,IMG2,mean,47.793968750000005, 31.511750000000003, 67.500431250000005, stdDev,8.0307429528047543, 5.4139114268244031, 11.868402369907374
BED,-100.2,REP1,IMG3,mean,47.133706250000003, 30.067531250000002, 66.751350000000002, stdDev,8.1080425435928163, 5.4687848997993509, 11.958373559038034
BED,-100.2,REP2,IMG1,mean,49.664962500000001, 30.931525000000001, 69.854250000000008, stdDev,9.0857711490876607, 5.8267313885552454, 12.726602332810568
BED,-100.2,REP2,IMG2,mean,51.103481250000002, 33.906275000000001, 71.26224375000001, stdDev,8.8893502507718996, 5.8075255595111237, 12.477228136312362
BED,-100.2,REP2,IMG3,mean,51.691968750000001, 35.024987500000002, 71.772118750000004, stdDev,8.8936605511467324, 5.7993620877510041, 12.396258564014312
BED,-100.2,REP3,IMG1,mean,52.52284375, 35.541274999999999, 72.149325000000005, stdDev,9.1108947509608686, 5.9784422197069906, 12.466594945869321
BED,-100.2,REP3,IMG2,mean,51.07891875, 32.538812499999999, 70.744675000000001, stdDev,9.3051479343908738, 6.0294770577425654, 12.712684478282904
BED,-100.2,REP3,IMG3,mean,51.570781250000003, 33.724068750000001, 71.304281250000003, stdDev,9.2029249434431488, 6.0295278169416822, 12.576242251598773
BED,-100.3,REP1,IMG1,mean,43.374387500000005, 29.589118750000001, 65.690062499999996, stdDev,6.1069670459110439, 3.9773744918474065, 11.128125459667285
BED,-100.3,REP1,IMG2,mean,41.792462499999999, 26.586650000000002, 64.087668750000006, stdDev,6.3025364486128819, 3.9836640517869775, 11.384694020494068
