RGB,EXT,AMB,TIME,BEST,POLYFIT,POLYFITAVG
R127GB63,--,AMB,na,-51,-51.6,-46.2
R127GB63,--,AMB,na,-51,-51.9,-49.8
R127GB63,--,AMB,na,-52,-51.1,-50.6
R127GB63,--,AMB,na,-52,-51.7,-51.3
R127GB63,--,AMB,na,-52,-51.9,-51.9
R127GB63,--,AMB,na,-53,-52.6,-52.1
R127GB63,--,AMB,na,-53,-52.6,-52.1
R127GB63,--,AMB,na,-53,-52.7,-52.3
R127GB63,--,AMB,na,-54,-53.1,-54.4
R127GB63,--,AMB,na,-54,-53.6,-53.1
R127GB63,--,BOX,na,-87,-87.3,-86.7
R127GB63,--,BOX,na,-87,-87.3,-90.3
R127GB63,--,BOX,na,-87,-87.7,-90.1
R127GB63,--,BOX,na,-88,-88.3,-88.7
R127GB63,--,BOX,na,-88,-88.5,-88.7
R127GB63,--,BOX,na,-89,-88.3,-66.1
R127GB63,--,BOX,na,-89,-88.6,-88
R127GB63,--,BOX,na,-89,-88.8,-88.8
R127GB63,--,BOX,na,-90,-89.4,-88
R127GB63,--,BOX,na,-90,-90.3,-87.9
R127GB63,EXT,AMB,11AM,-38,-38.2,-44.2
R127GB63,EXT,AMB,11AM,-38,-38.5,-37.8
R127GB63,EXT,AMB,11AM,-41,-41.1,-40.4
R127GB63,EXT,AMB,11AM,-41,-41.4,-41.3
R127GB63,EXT,AMB,11AM,-43,-42.3,-41.7
R127GB63,EXT,AMB,11AM,-43,-42.4,-41.9
R127GB63,EXT,AMB,11AM,-43,-42.7,-39.5
R127GB63,EXT,AMB,11AM,-43,-43.1,-41.7
R127GB63,EXT,AMB,11AM,-43,-43.2,-43.6
R127GB63,EXT,AMB,11AM,-43,-46.3,-40.9
R127GB63,EXT,AMB,9AM,-41,-41.2,-41.7
R127GB63,EXT,AMB,9AM,-41,-41.7,-43.4
R127GB63,EXT,AMB,9AM,-42,-41.9,-42.1
R127GB63,EXT,AMB,9AM,-42,-42.1,-42.9
R127GB63,EXT,AMB,9AM,-43,-42.2,-41.8
R127GB63,EXT,AMB,9AM,-43,-42.3,-43.9
R127GB63,EXT,AMB,9AM,-43,-43.2,-41.7
R127GB63,EXT,AMB,9AM,-43,-43.2,-43.7
R127GB63,EXT,AMB,9AM,-43,-43.5,-29.9
R127GB63,EXT,AMB,9AM,-44,-43.3,-44.3
R127GB63,EXT,BOX,na,-86,-87,-87.5
R127GB63,EXT,BOX,na,-87,-86.2,-86.1
R127GB63,EXT,BOX,na,-87,-86.9,-87.2
R127GB63,EXT,BOX,na,-87,-87.3,-86.4
R127GB63,EXT,BOX,na,-87,-87.8,-86.9
R127GB63,EXT,BOX,na,-88,-87.7,-89.4
