FEEDRATE,PSNR,DX,DY,MATCH
2340,30.699090733263397,-1,1,0.982971
2340,30.838177106450154,-1,1,0.956468
2340,31.198767963604904,-1,1,0.986028
2340,31.897932652298252,-1,1,0.963674
2340,31.985705503094707,-1,1,0.964145
2340,32.19779983784598,-1,1,0.96683
2640,31.18837499287684,-1,0,0.964754
2640,31.297216232372357,-1,0,0.969281
2640,31.890618057878875,-1,0,0.960407
2640,31.8946834051565,-1,0,0.966649
2640,34.43959477093757,-1,0,0.984466
2640,36.13799538245364,-1,0,0.987052
2700,33.16901897391495,-1,1,0.985217
2700,33.88856207724224,-1,0,0.986223
2700,33.97942652405304,-1,0,0.988889
2700,34.01228805512963,-1,0,0.987417
2700,34.0136899421513,-1,0,0.991752
2700,34.02449884788672,-1,0,0.985907
2700,34.02938660110034,-1,0,0.984049
2700,34.42184980092834,-1,0,0.981701
2700,34.51175066844489,-1,0,0.992671
2700,34.63928346771412,-1,0,0.990646
2700,34.82642700287976,-1,0,0.992049
2700,36.00929892894258,-1,0,0.994253
2760,33.23725897994562,-1,0,0.986223
2760,33.51877723565816,-1,0,0.984045
2760,34.10178329318141,-1,0,0.988312
2760,34.202944039429894,-1,0,0.98696
2760,34.67466633741367,-1,0,0.984372
2760,34.6747712596929,-1,0,0.987878
2820,30.46487540078985,-1,1,0.98522
2820,30.547054105609114,-1,1,0.956708
2820,30.86438172153376,-1,1,0.974678
2820,30.922472004606956,-1,1,0.959884
2820,31.342662365043292,-1,1,0.988875
2820,31.726809829953627,-1,0,0.974072
3000,33.67698647808374,-1,0,0.978926
3000,33.85261172932208,-1,0,0.985426
3000,34.06233195922362,-1,0,0.987182
3000,34.33937356171676,-1,0,0.988523
3000,35.57973562676029,-1,0,0.984629
3000,35.97032783644602,-1,0,0.995357
3060,33.262245632280056,-1,0,0.970682
3060,34.18457279916328,0,0,0.977713
3060,34.47279988202952,0,0,0.974664
3060,34.59420620133013,-1,0,0.979848
3060,35.13790300049778,0,0,0.98225
3060,35.93114935396044,-1,0,0.985626
3180,32.152970135206836,-1,1,0.990066
3180,32.64590954921337,-1,0,0.971992
3180,32.814782781330564,-1,0,0.976144
3180,32.837420450161545,-1,1,0.977532
3180,32.91651291626319,-1,0,0.972391
