tvMax,PSNR,dx,dy,match,q
0.021,25.917,2, 0, 0.992631,25.896
0.021,26.971,1, 0, 0.985126,26.95
0.03,25.322,2, 0, 0.993843,25.292
0.03,26.104,2, 0, 0.990005,26.074
0.034,25.488,2, 0, 0.981782,25.454
0.034,25.499,2, 0, 0.982095,25.465
0.036,26.561,1, 1, 0.980615,26.525
0.036,27.098,1, 1, 0.982909,27.062
0.037,26.558,1, 1, 0.980166,26.521
0.037,26.889,1, 1, 0.987176,26.852
0.042,25.876,2, 0, 0.992491,25.834
0.042,26.023,2, 0, 0.991215,25.981
0.044,19.51,4, -2, 0.988699,19.466
0.044,25.951,2, 1, 0.985498,25.907
0.044,26.107,2, 1, 0.986707,26.063
0.044,26.439,2, 1, 0.986228,26.395
0.048,25.97,2, 0, 0.990155,25.922
0.048,26.556,2, 1, 0.986224,26.508
0.05,24.213,2, 0, 0.991524,24.163
0.05,24.481,2, 0, 0.993945,24.431
0.058,25.534,2, 0, 0.987113,25.476
0.058,25.845,2, 0, 0.990087,25.787
0.06,16.622,19, -11, 0.944704,16.562
0.06,16.761,19, -10, 0.968511,16.701
0.061,25.138,2, 0, 0.997719,25.077
0.061,25.728,2, 0, 0.990888,25.667
0.061,25.997,2, 0, 0.98312,25.936
0.061,26.025,2, 0, 0.982961,25.964
0.062,24.951,2, 0, 0.996574,24.889
0.062,25.877,2, 1, 0.99003,25.815
0.063,24.866,2, 0, 0.996739,24.803
0.063,25.653,2, 1, 0.986748,25.59
0.064,25.558,2, 0, 0.991324,25.494
0.064,25.646,2, 0, 0.988904,25.582
0.064,26.273,2, 1, 0.989206,26.209
0.064,26.345,2, 1, 0.988744,26.281
0.065,24.909,2, 0, 0.996906,24.844
0.065,25.662,2, 0, 0.989121,25.597
0.067,25.033,2, 0, 0.994498,24.966
0.067,25.283,2, 0, 0.993499,25.216
0.067,25.694,2, 0, 0.993102,25.627
0.067,25.891,2, 0, 0.992255,25.824
0.068,25.487,2, 0, 0.995997,25.419
0.068,25.703,2, 0, 0.995066,25.635
0.069,24.675,2, 0, 0.996261,24.606
0.069,24.682,2, 0, 0.996068,24.613
0.069,24.698,2, 0, 0.995473,24.629
0.069,24.934,2, 0, 0.996999,24.865
0.07,25.576,2, 0, 0.994768,25.506
0.07,25.851,2, 0, 0.992567,25.781
0.072,26.795,1, 1, 0.983568,26.723
0.072,27.199,1, 0, 0.98674,27.127
0.073,24.496,2, 0, 0.996165,24.423
0.073,24.913,2, 0, 0.98875,24.84
0.074,26.194,2, 0, 0.99482,26.12
0.074,26.551,2, 0, 0.989033,26.477
0.075,24.806,2, 0, 0.996733,24.731
0.075,25.1,2, 0, 0.995501,25.025
0.075,25.33,2, 0, 0.994958,25.255
0.075,25.347,2, 0, 0.985221,25.272
0.077,25.575,2, 0, 0.996094,25.498
0.077,25.589,2, 0, 0.996382,25.512
0.08,24.506,2, 0, 0.995104,24.426
0.08,24.668,2, 0, 0.996667,24.588
0.08,25.227,2, 0, 0.994981,25.147
0.08,25.391,2, 0, 0.989744,25.311
0.081,24.451,2, 0, 0.993118,24.37
0.081,24.488,2, 0, 0.992476,24.407
0.083,25.17,2, 0, 0.997313,25.087
0.083,25.848,2, 0, 0.990715,25.765
0.085,24.743,2, 0, 0.996007,24.658
0.085,24.799,2, 0, 0.99588,24.714
0.085,25.801,2, 0, 0.989353,25.716
0.085,26.213,2, 1, 0.988256,26.128
0.087,24.474,2, 0, 0.994742,24.387
0.087,24.918,2, 0, 0.995571,24.831
0.088,25.307,2, 0, 0.998541,25.219
0.088,26.811,2, 1, 0.986455,26.723
0.089,25.001,2, 0, 0.996457,24.912
0.089,25.381,2, 0, 0.997383,25.292
0.091,25.39,2, 0, 0.996047,25.299
0.091,25.488,2, 0, 0.994735,25.397
0.092,26.577,2, 0, 0.989946,26.485
0.092,26.91,1, 1, 0.987479,26.818
0.095,25.678,2, 0, 0.969717,25.583
0.095,26.737,2, 0, 0.989026,26.642
0.095,26.77,2, 0, 0.98693,26.675
0.095,26.807,2, 0, 0.985855,26.712
0.095,26.839,1, 1, 0.985995,26.744
0.095,26.884,1, 1, 0.991423,26.789
0.096,25.783,2, 0, 0.995515,25.687
0.096,25.795,2, 0, 0.997619,25.699
0.097,24.837,2, 0, 0.988185,24.74
0.097,25.295,2, 0, 0.991067,25.198
