 x, xErr(-2), yErr(-2), zErr(-2), xErr(-1), yErr(-1), zErr(-1), xErr(0), yErr(0), zErr(0), xErr(1), yErr(1), zErr(1), xErr(2), yErr(2), zErr(2)
-100, 0.132, 0.422, 2.528, 0.053, 0.213, 1.255, 0, 0, 0, -0.026, -0.218, -1.238, -0.022, -0.44, -2.459
-90, 0.218, 0.316, 2.623, 0.098, 0.16, 1.303, 0, 0, 0, -0.076, -0.163, -1.285, -0.128, -0.329, -2.552
-80, 0.265, 0.235, 2.708, 0.124, 0.119, 1.346, 0, 0, 0, -0.105, -0.121, -1.328, -0.19, -0.245, -2.638
-70, 0.282, 0.172, 2.784, 0.134, 0.087, 1.384, 0, 0, 0, -0.118, -0.088, -1.366, -0.22, -0.179, -2.714
-60, 0.276, 0.122, 2.85, 0.132, 0.061, 1.417, 0, 0, 0, -0.12, -0.063, -1.399, -0.226, -0.126, -2.78
-50, 0.254, 0.082, 2.906, 0.122, 0.041, 1.445, 0, 0, 0, -0.112, -0.042, -1.427, -0.213, -0.085, -2.836
-40, 0.218, 0.051, 2.951, 0.105, 0.026, 1.467, 0, 0, 0, -0.097, -0.026, -1.45, -0.186, -0.053, -2.882
-30, 0.171, 0.028, 2.987, 0.083, 0.014, 1.485, 0, 0, 0, -0.077, -0.015, -1.468, -0.149, -0.03, -2.918
-20, 0.118, 0.012, 3.012, 0.057, 0.006, 1.498, 0, 0, 0, -0.054, -0.006, -1.481, -0.103, -0.013, -2.944
-10, 0.06, 0.003, 3.027, 0.029, 0.002, 1.505, 0, 0, 0, -0.027, -0.002, -1.488, -0.053, -0.003, -2.959
0, 0, 0, 3.032, 0, 0, 1.508, 0, 0, 0, 0, 0, -1.491, 0, 0, -2.964
10, -0.06, 0.003, 3.027, -0.029, 0.002, 1.505, 0, 0, 0, 0.027, -0.002, -1.488, 0.053, -0.003, -2.959
20, -0.118, 0.012, 3.012, -0.057, 0.006, 1.498, 0, 0, 0, 0.054, -0.006, -1.481, 0.103, -0.013, -2.944
30, -0.171, 0.028, 2.987, -0.083, 0.014, 1.485, 0, 0, 0, 0.077, -0.015, -1.468, 0.149, -0.03, -2.918
40, -0.218, 0.051, 2.951, -0.105, 0.026, 1.467, 0, 0, 0, 0.097, -0.026, -1.45, 0.186, -0.053, -2.882
50, -0.254, 0.082, 2.906, -0.122, 0.041, 1.445, 0, 0, 0, 0.112, -0.042, -1.427, 0.213, -0.085, -2.836
60, -0.276, 0.122, 2.85, -0.132, 0.061, 1.417, 0, 0, 0, 0.12, -0.063, -1.399, 0.226, -0.126, -2.78
70, -0.282, 0.172, 2.784, -0.134, 0.087, 1.384, 0, 0, 0, 0.118, -0.088, -1.366, 0.22, -0.179, -2.714
80, -0.265, 0.235, 2.708, -0.124, 0.119, 1.346, 0, 0, 0, 0.105, -0.121, -1.328, 0.19, -0.245, -2.638
90, -0.218, 0.316, 2.623, -0.098, 0.16, 1.303, 0, 0, 0, 0.076, -0.163, -1.285, 0.128, -0.329, -2.552
100, -0.132, 0.422, 2.528, -0.053, 0.213, 1.255, 0, 0, 0, 0.026, -0.218, -1.238, 0.022, -0.44, -2.459
